family,side,bucket,band,n_markets,grey,avg_paid_c,realized_pct,bias_pp,ci_lo,ci_hi,vw_paid_c,vw_realized_pct,qty_contracts,n_trades,spread_med_c,spread_n_markets,fee_c,cost_c,exceeds_cost,max_single_loss_c
sports_game,yes,65-80,10-60m,1998,False,72.31,69.22,3.09,1.21,5.12,72.19,73.8,64246400.4,593107,2.31,2000,1.4,3.72,False,35.0
sports_game,yes,80-90,10-60m,1926,False,84.65,82.87,1.78,-0.09,3.43,84.93,88.98,65773504.3,468164,2.04,1912,0.91,2.95,False,20.0
sports_game,yes,90-95,10-60m,1776,False,92.02,90.77,1.26,-0.09,2.62,92.2,91.93,48843771.3,266271,1.83,1664,0.51,2.35,False,10.0
sports_game,yes,95-99,10-60m,1629,False,97.25,95.09,2.16,1.14,3.25,97.26,97.42,72429889.0,304102,1.41,1365,0.19,1.59,True,5.0
sports_game,yes,01-05,2-5m,1312,False,1.39,0.3,1.09,0.76,1.33,1.37,0.31,8552183.5,24176,1.28,495,0.1,1.38,False,97.1
sports_game,yes,05-10,2-5m,367,False,6.61,1.91,4.71,3.13,5.89,6.52,1.36,1427408.4,13098,2.53,381,0.43,2.97,True,94.2
sports_game,yes,10-20,2-5m,233,False,12.73,3.0,9.73,7.34,11.64,13.14,0.59,902950.0,8369,4.13,242,0.78,4.91,True,88.8
sports_game,yes,20-35,2-5m,112,False,25.21,8.93,16.28,10.68,21.38,25.82,1.3,298131.7,3386,5.71,114,1.32,7.03,True,80.0
sports_game,yes,35-50,2-5m,61,False,41.64,26.23,15.41,5.08,26.05,43.41,19.68,227558.1,3150,9.51,58,1.7,11.21,True,62.4
sports_game,yes,45-55(null),2-5m,46,False,48.67,41.3,7.36,-5.79,20.43,47.83,24.27,151320.8,2586,11.88,118,1.75,13.63,False,54.1
sports_game,yes,50-65,2-5m,49,False,57.65,61.22,-3.58,-15.93,8.99,56.65,70.38,205281.3,3230,14.25,60,1.71,15.96,False,50.0
sports_game,yes,65-80,2-5m,87,False,74.09,88.51,-14.42,-20.2,-7.71,74.42,95.17,402228.2,3908,5.86,112,1.34,7.2,True,33.5
sports_game,yes,80-90,2-5m,186,False,86.07,96.77,-10.71,-13.06,-7.91,85.5,98.57,1151140.0,8687,4.34,226,0.84,5.18,True,20.0
sports_game,yes,90-95,2-5m,292,False,92.61,97.95,-5.34,-6.97,-3.54,92.38,99.09,2011083.8,16478,2.28,322,0.48,2.76,True,10.0
sports_game,yes,95-99,2-5m,519,False,97.92,98.84,-0.93,-1.77,0.03,97.93,99.64,8116566.7,47473,1.44,417,0.14,1.59,False,5.0
sports_game,yes,01-05,5-10m,1621,False,1.62,0.68,0.94,0.53,1.31,1.7,0.12,17205941.4,50007,1.28,938,0.11,1.39,False,99.0
sports_game,yes,05-10,5-10m,800,False,6.81,3.25,3.56,2.27,4.72,6.72,2.28,6514862.9,50611,2.0,844,0.44,2.44,True,95.0
sports_game,yes,10-20,5-10m,667,False,13.28,5.85,7.44,5.5,9.09,13.16,1.68,5981308.9,47274,2.85,652,0.81,3.65,True,90.0
sports_game,yes,20-35,5-10m,379,False,24.89,12.93,11.96,8.62,15.26,26.19,5.8,3643224.4,29100,4.0,352,1.31,5.31,True,78.6
sports_game,yes,35-50,5-10m,212,False,41.11,31.6,9.51,3.36,15.51,41.62,21.62,1986902.4,14541,4.9,238,1.69,6.59,True,63.7
sports_game,yes,45-55(null),5-10m,166,False,49.33,46.39,2.94,-4.25,10.49,49.5,58.28,1231746.0,9492,4.55,483,1.75,6.3,False,55.0
