family,phase,grp,date,pnl_c
sports_prop,ingame,longshot,2026-07-24,-40.877205265161976
sports_prop,pregame,favorite,2026-07-10,-0.6102822804651729
sports_prop,pregame,favorite,2026-07-11,1.8397634756064871
sports_prop,pregame,favorite,2026-07-12,-0.01620256990724897
sports_prop,pregame,favorite,2026-07-13,1.983361983922895
sports_prop,pregame,favorite,2026-07-14,0.5733028044367674
sports_prop,pregame,favorite,2026-07-15,5.792633275744771
sports_prop,pregame,favorite,2026-07-16,6.518376659034411
sports_prop,pregame,favorite,2026-07-17,7.360901673208309
sports_prop,pregame,favorite,2026-07-18,27.3343722292718
sports_prop,pregame,favorite,2026-07-19,6.28104790682799
sports_prop,pregame,favorite,2026-07-20,4.101528211733836
sports_prop,pregame,favorite,2026-07-21,3.5971220113763946
sports_prop,pregame,favorite,2026-07-22,12.544964743816772
sports_prop,pregame,favorite,2026-07-23,13.85775332997588
sports_prop,pregame,favorite,2026-07-24,4.945896677828655
sports_prop,pregame,longshot,2026-07-10,16.05065946274973
sports_prop,pregame,longshot,2026-07-11,60.4413439260825
sports_prop,pregame,longshot,2026-07-12,58.29166222396615
sports_prop,pregame,longshot,2026-07-13,4.560770290431515
sports_prop,pregame,longshot,2026-07-14,-1.2513728456952709
sports_prop,pregame,longshot,2026-07-15,4.070965046370979
sports_prop,pregame,longshot,2026-07-16,0.5019394359456121
sports_prop,pregame,longshot,2026-07-17,9.870781108813237
sports_prop,pregame,longshot,2026-07-18,42.14633448412009
sports_prop,pregame,longshot,2026-07-19,37.908265658578145
sports_prop,pregame,longshot,2026-07-20,13.814795193634474
sports_prop,pregame,longshot,2026-07-21,-45.0158690765676
sports_prop,pregame,longshot,2026-07-22,47.07339757457137
sports_prop,pregame,longshot,2026-07-23,-7.76185439091382
sports_prop,pregame,longshot,2026-07-24,-18.89781252474716
sports_prop,unknown,favorite,2026-07-10,75.61768099794558
sports_prop,unknown,favorite,2026-07-11,165.67500329155962
sports_prop,unknown,favorite,2026-07-12,140.59871537788544
sports_prop,unknown,favorite,2026-07-13,164.43574385077508
sports_prop,unknown,favorite,2026-07-14,207.71763011539878
sports_prop,unknown,favorite,2026-07-15,233.63193643771888
sports_prop,unknown,favorite,2026-07-16,253.0467084806549
sports_prop,unknown,favorite,2026-07-17,316.422503767895
sports_prop,unknown,favorite,2026-07-18,379.3645636906018
sports_prop,unknown,favorite,2026-07-19,404.90586855691
sports_prop,unknown,favorite,2026-07-20,140.2857344934819
sports_prop,unknown,favorite,2026-07-21,226.21895773908636
sports_prop,unknown,favorite,2026-07-22,186.87011388624722
sports_prop,unknown,favorite,2026-07-23,285.7778623969124
sports_prop,unknown,favorite,2026-07-24,208.76916112140924
sports_prop,unknown,longshot,2026-07-10,50.909296145982346
sports_prop,unknown,longshot,2026-07-11,30.574271826788546
sports_prop,unknown,longshot,2026-07-12,85.13004806156715
sports_prop,unknown,longshot,2026-07-13,-27.540012441897623
sports_prop,unknown,longshot,2026-07-14,30.69047736778769
sports_prop,unknown,longshot,2026-07-15,28.644457159983414
sports_prop,unknown,longshot,2026-07-16,96.9368012811699
sports_prop,unknown,longshot,2026-07-17,25.55845747194408
sports_prop,unknown,longshot,2026-07-18,-54.255556676292684
sports_prop,unknown,longshot,2026-07-19,60.060696372781564
sports_prop,unknown,longshot,2026-07-20,-3.831202173699385
sports_prop,unknown,longshot,2026-07-21,-43.95350683774555
sports_prop,unknown,longshot,2026-07-22,37.27259713531631
sports_prop,unknown,longshot,2026-07-23,142.03831474002013
sports_prop,unknown,longshot,2026-07-24,-28.200761322903713
