date,latency_id,cancel_timer_us,track,refill_group,horizon_us,total_slices,observed_slices,censored_slices,total_filled_count_e4,observed_count_e4,censored_count_e4,weighted_gross_sum_e8,weighted_censored_entry_price_sum_e8,weighted_gross_lower_sum_e8,weighted_gross_upper_sum_e8,coverage_count_num_e4,coverage_count_den_e4,mean_gross_e4
2026-07-12,STRESS,200000,QUEUE_PESSIMISTIC,NON_REFILL_OR_CENSORED,200000,453,447,7,4315100,4246300,68800,-642330000,233400000,-875730000,-187730000,4246300,4315100,-151.26816287120553
2026-07-12,STRESS,200000,QUEUE_PESSIMISTIC,NON_REFILL_OR_CENSORED,500000,453,408,49,4315100,3847300,467800,-584230000,2234630000,-2818860000,1859140000,3847300,4315100,-151.85454734489122
2026-07-12,STRESS,200000,QUEUE_PESSIMISTIC,NON_REFILL_OR_CENSORED,1000000,453,386,74,4315100,3592000,723100,-544350000,3142580000,-3686930000,3544070000,3592000,4315100,-151.54510022271714
2026-07-12,STRESS,200000,QUEUE_PESSIMISTIC,REFILL_BY_TIMER,100000,382,374,13,3724200,3605800,118400,-473810000,431880000,-905690000,278310000,3605800,3724200,-131.4021853680182
2026-07-12,STRESS,200000,QUEUE_PESSIMISTIC,REFILL_BY_TIMER,200000,382,380,8,3724200,3662600,61600,-473950000,187990000,-661940000,-45940000,3662600,3724200,-129.40261016764046
2026-07-12,STRESS,200000,QUEUE_PESSIMISTIC,REFILL_BY_TIMER,500000,382,360,29,3724200,3466900,257300,-436710000,1313670000,-1750380000,822620000,3466900,3724200,-125.96556001038391
2026-07-12,STRESS,200000,QUEUE_PESSIMISTIC,REFILL_BY_TIMER,1000000,382,338,46,3724200,3285600,438600,-392690000,2127790000,-2520480000,1865520000,3285600,3724200,-119.51850499147797
2026-07-12,STRESS,200000,STRICT_THROUGH,NON_REFILL_OR_CENSORED,100000,428,416,13,4039200,3918800,120400,-649010000,544820000,-1193830000,10170000,3918800,4039200,-165.61447381851588
2026-07-12,STRESS,200000,STRICT_THROUGH,NON_REFILL_OR_CENSORED,200000,428,422,7,4039200,3970400,68800,-627800000,233400000,-861200000,-173200000,3970400,4039200,-158.1200886560548
2026-07-12,STRESS,200000,STRICT_THROUGH,NON_REFILL_OR_CENSORED,500000,428,386,46,4039200,3606700,432500,-574170000,2027910000,-2602080000,1722920000,3606700,4039200,-159.1953863642665
2026-07-12,STRESS,200000,STRICT_THROUGH,NON_REFILL_OR_CENSORED,1000000,428,364,71,4039200,3351400,687800,-526350000,2979860000,-3506210000,3371790000,3351400,4039200,-157.05376857432714
2026-07-12,STRESS,200000,STRICT_THROUGH,REFILL_BY_TIMER,100000,356,350,11,3426500,3321200,105300,-496810000,346460000,-843270000,209730000,3321200,3426500,-149.58749849452005
